Customer ID,Rank,Recommended Item,Score
1,1,Shorts,3.9642862269324133
1,2,Skirt,3.9580925192789453
1,3,T-shirt,3.897147155335216
1,4,Gloves,2.905323073279038
1,5,Coat,2.903380895311159
2,1,Dress,3.934438957161302
2,2,Blouse,3.8985454067733185
2,3,Skirt,3.869356277817509
2,4,Scarf,2.935381689876274
2,5,Gloves,2.916421228167599
3,1,Blouse,3.9378035678548917
3,2,Shorts,3.8968103971907486
3,3,Sandals,2.991269045523759
3,4,Gloves,2.9889156299072495
3,5,Jewelry,2.9686924363705156
4,1,Sneakers,3.992187205123664
4,2,Boots,3.963898966787758
4,3,Gloves,3.0736502203229175
4,4,Sunglasses,3.0428018965555528
4,5,Jewelry,3.02312690327872
5,1,Skirt,3.8834827891637658
5,2,Gloves,2.950541851681663
5,3,Scarf,2.9400634122121296
5,4,Jewelry,2.935326578084429
5,5,Boots,2.9177169087155654
6,1,Boots,3.9355146779780945
6,2,Gloves,2.941967731686807
6,3,Scarf,2.9387921469918226
6,4,Jewelry,2.9337338044087233
6,5,Skirt,2.928075612068789
7,1,Blouse,4.03691037467079
7,2,Shorts,4.0012403345105785
7,3,Skirt,4.000440032760771
7,4,Scarf,3.057873284091798
7,5,Coat,2.9944112929217575
8,1,Skirt,3.9804188926719304
8,2,Shirt,3.9298217173981547
8,3,T-shirt,3.9078665302683753
8,4,Dress,3.8746632891479846
8,5,Jeans,3.8733830459020337
9,1,Skirt,3.0161542612476437
9,2,Blouse,2.961915058616965
9,3,Scarf,2.9569075880100577
9,4,Sweater,2.9536906022461666
9,5,Jewelry,2.9139209708257843
10,1,Gloves,3.9695727452871274
10,2,Scarf,3.9171187073377727
10,3,Jewelry,3.8961558328083203
10,4,Sunglasses,3.8828911426744845
10,5,Sandals,2.9460210185510722
11,1,Sneakers,3.901647697919702
11,2,Boots,3.9007478409373957
11,3,Dress,2.983582379162671
11,4,Blouse,2.945519966751053
11,5,Scarf,2.921997287927443
12,1,Skirt,3.9959631373978297
12,2,Dress,3.9713072084991636
12,3,T-shirt,3.918461470826278
12,4,Gloves,3.0080760474334904
12,5,Boots,2.989749319538173
13,1,Scarf,3.0293508412894874
13,2,Gloves,3.012243799070152
13,3,Dress,2.9931729527372797
13,4,Skirt,2.9848758780233338
13,5,Sneakers,2.972493485377642
14,1,Blouse,3.970497680779795
14,2,T-shirt,3.93901728772438
14,3,Shorts,3.9044910367191794
14,4,Boots,2.9832369514695696
14,5,Scarf,2.9738426581125235
15,1,Jewelry,3.037666231205785
15,2,Scarf,2.968646889917502
15,3,Boots,2.9657306425389343
15,4,Pants,2.9650496650796807
15,5,Handbag,2.9583166248733037
16,1,Dress,3.918841784608219
16,2,Shirt,3.889315507327386
16,3,Gloves,2.9885050937019537
16,4,Boots,2.9082597793068032
16,5,Backpack,2.897897036120968
17,1,Gloves,3.9554045223937395
17,2,Hat,3.947243209644388
17,3,Skirt,3.018146287148659
17,4,T-shirt,2.9732560534931145
17,5,Blouse,2.965082666566009
18,1,Skirt,3.928075612068789
18,2,Blouse,3.9240892321112684
18,3,T-shirt,3.911588404166174
18,4,Gloves,2.941967731686807
18,5,Scarf,2.9387921469918226
19,1,Pants,3.914779754946436
19,2,Shorts,3.8900365938468053
19,3,Jewelry,2.9841744345753645
19,4,Scarf,2.937639012350273
19,5,Coat,2.9264103102674563
20,1,Dress,4.0330303050941705
20,2,Blouse,3.994294262028946
20,3,Shirt,3.979757607644389
20,4,Gloves,3.009568294248458
20,5,Scarf,2.9978324682954707
